仓库,货主,商家编码,货品编号,货品名称,货品简称,规格码,规格名称,分类名称,条形码,基本单位,托规,箱规,价格,毛重（kg）,品牌,生产日期,临期天数,保质期,货区,货区名称,货区类型,货位,货位冻结,热卖货区,有效期,距离到期天数,距离临期天数,批次,是否正品,库存,可发库存,可发库存箱数,库存箱数,货品英文名称,自定义属性2,自定义属性3,自定义属性4,自定义属性5,自定义属性6,货位异常原因,体积（cm³）
主仓库,EA,8809783324035,8809783324035,BEIGIC 芳香洁面乳 (130ml),베이지크 아로마틱 페이스 클렌저 (130ml),,130ml,美妆个护,8809783324035,ea,无,80/箱,无权限,0.175,BEIGIC,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-18-03,否,普通区,2028-09-12 00:00:00,803,0,,正品,52,52,52ea,52ea,BEIGIC Aromatic Face Cleanser (130ml),,판매중,본품,,,,381
主仓库,EA,8809533810061,8809533810061,AIPPO 专家紧致安瓶 (30ml),아이뽀 엑스퍼트 퍼밍 앰플 (30ml),,30ml,美妆个护,8809533810061,ea,无,70/箱,无权限,0.161,AIPPO,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-25-01,否,普通区,2027-03-25 00:00:00,266,0,,正品,54,54,54ea,54ea,AIPPO Expert Firming Ampoule (30ml),,판매중,본품,,,,200
主仓库,EA,8809439081138,8809439081138,AIPPO 防晒 (50ml),아이뽀 데일리 선크림(50ml),,50ml,美妆个护,8809439081138,ea,无,120/箱,无权限,0.073,AIPPO,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-30-03,否,普通区,2027-06-10 00:00:00,343,0,,正品,33,33,33ea,33ea,AIPPO Daily Sun Cream (50ml),,판매중,본품,,,,160
主仓库,EA,8809654651604,8809654651604,(赠品) AIPPO 防晒 (10ml),(증정) 아이뽀 데일리 선크림 (10ml),,10ml,美妆个护,8809654651604,ea,无,1/箱,无权限,0,AIPPO,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-29-01,否,普通区,2026-12-07 00:00:00,158,0,,正品,34,34,34箱,34箱,(Gift) AIPPO Daily Sun Cream (10ml),,판매중,증정,,,,0
主仓库,EA,8800276317671,8800276317671,ORJENA 精华变粉气垫(#21 Vanila) (14g),오르제나 세럼 투 파우더 쿠션(#21 바닐라) (14g),,14g,美妆个护,8800276317671,ea,无,20/箱,无权限,0.09,ORJENA,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-22-03,否,普通区,2028-04-21 00:00:00,659,0,,正品,34,34,1箱14ea,1箱14ea,ORJENA Serum To Powder Cushion(#21 Vanila) (14g),,판매중,본품,,,,234
主仓库,EA,8809821731207,8809821731207,BEIGIC 焕活CE防晒霜 (30ml),베이지크 리바이탈라이징 씨이 선스크린 (30ml),,30ml,美妆个护,8809821731207,ea,无,160/箱,无权限,0.054,BEIGIC,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-17-01,否,普通区,2028-01-06 00:00:00,553,0,,正品,9,9,9ea,9ea,BEIGIC Revitalizing CE Sunscreen (30ml),,판매중,본품,,,,96
主仓库,EA,8809678401193,8809678401193,(赠品) OHIOHOO 玫瑰棉片 (2ea),(증정) 오하이오후 라 로즈 비피다 패드 파우치 (2ea),,2ea,美妆个护,8809678401193,ea,无,1/箱,无权限,0.009,OHIOHOO,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-18-02,否,普通区,2028-03-20 00:00:00,627,0,,正品,26,26,26箱,26箱,(Gift) OHIOHOO La Rose Bifida Pad Pouch (2ea),,판매중,증정,,,,0
主仓库,EA,8806011638162,8806011638162,Garglin Duo Buster 薄荷爆珠 (30ea),가그린 듀오버스터 더블 민트볼 (30ea),,30ea,美妆个护,8806011638162,ea,无,240/箱,无权限,0.02,Garglin,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-09-02,否,普通区,2027-05-30 00:00:00,332,0,,正品,9,9,9ea,9ea,Garglin Duo Buster Double Mint Ball (30ea),,판매중,본품,,,,151
主仓库,EA,8809569602517,8809569602517,LA MUSE 绿洲舒缓精华 (200ml),라뮤즈 오아시스 수딩 세럼 (200ml),,200ml,美妆个护,8809569602517,ea,无,50/箱,无权限,0.24,LA MUSE,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-19-02,否,普通区,2027-08-23 00:00:00,417,0,,正品,17,17,17ea,17ea,LA MUSE Oasis Soothing Serum (200ml),,판매중,본품,,,,606
主仓库,EA,8809932660489,8809932660489,touch in SOL 美颜滤镜轻盈粉底液(#01 Light) (35g),터치인솔 프리티필터 퍼펙트 피니시 파운데이션(#01 라이트) (35g),,35g,美妆个护,8809932660489,ea,无,60/箱,无权限,0.175,touch in SOL,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-30-02,否,普通区,2028-07-02 00:00:00,731,0,,正品,247,247,4箱7ea,4箱7ea,touch in SOL Pretty Filter Perfect Finish Foundation(#01 Light) (35g),,판매중,본품,,,,170
主仓库,EA,8809932661677,8809932661677,touch in SOL 美颜滤镜轻盈粉底液(#00 Ultra Light) (35g),터치인솔 프리티필터 퍼펙트 피니시 파운데이션(#00 울트라 라이트) (35g),,35g,美妆个护,8809932661677,ea,无,60/箱,无权限,0.175,touch in SOL,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-27-01,否,普通区,2028-06-12 00:00:00,711,0,,正品,207,207,3箱27ea,3箱27ea,touch in SOL Pretty Filter Perfect Finish Foundation(#00 Ultra Light) (35g),,판매중,본품,,,,170
主仓库,EA,8809846781386,8809846781386,YOUSSOFUL 汽车香氛(#16 Berry Noir) (14.85g),유쏘풀 차량용 방향제(#16 베리느와르) (14.85g),,14.85g,无,8809846781386,ea,无,24/箱,无权限,0.3,YOUSSOFUL,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-35-02,否,普通区,2028-06-11 00:00:00,710,0,,正品,4,4,4ea,4ea,YOUSSOFUL Car Diffuser(#Berry Noir) (14.85g),,판매중,본품,,,,1478
主仓库,EA,8809794920042,8809794920042,Suelo 红豆南瓜茶 (2g*20ea),슈엘로 유기농 호박팥차 (2g*20ea),,2g*20ea,食品,8809794920042,ea,无,100/箱,无权限,0.051,Suelo,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-15-03,否,普通区,2027-08-20 00:00:00,414,0,,正品,74,74,74ea,74ea,Suelo Organic Pumpkin Red Bean Tea (2g*20ea),,판매중,본품,,,,1800
主仓库,EA,8809932660922,8809932660922,ForestHeal 南瓜拿铁喷雾 (100ml),포레스트힐 블렌딩 크리미 미스트 펌킨라떼 (100ml),,100ml,美妆个护,8809932660922,ea,无,100/箱,无权限,0.145,ForestHeal,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-34-01,否,普通区,2027-10-27 00:00:00,482,0,,正品,4,4,4ea,4ea,ForestHeal Blending Creamy Mist Pumpkin Latte (100ml),,판매중,본품,,,,243
主仓库,EA,8809410236960,8809410236960,MIHAK 身体护手乳液(#Oud Noir) (300ml),미학 바디 & 핸드로션(#오드누아)(300ml),,300ml,美妆个护,8809410236960,ea,无,27/箱,无权限,0.435,MIHAK,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-37-02,否,普通区,2028-01-19 00:00:00,566,0,,正品,108,108,4箱,4箱,MIHAK Body & Hand Lotion(#Oud Noir) (300ml),,판매중,본품,,,,619
主仓库,EA,8809410236977,8809410236977,MIHAK 身体护手乳液(#Vinyl Wood) (300ml),미학 바디 & 핸드로션(#바이닐우드) (300ml),,300ml,美妆个护,8809410236977,ea,无,27/箱,无权限,0.435,MIHAK,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-36-02,否,普通区,2028-01-20 00:00:00,567,0,,正品,16,16,16ea,16ea,MIHAK Body & Hand Lotion(#Vinyl Wood) (300ml),,판매중,본품,,,,619
主仓库,EA,8809410236946,8809410236946,MIHAK 身体护手沐浴露(#Oud Noir) (300ml),미학 바디 & 핸드워시(#오드누아) (300ml),,300ml,美妆个护,8809410236946,ea,无,27/箱,无权限,0.435,MIHAK,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-37-01,否,普通区,2028-01-16 00:00:00,563,0,,正品,114,114,4箱6ea,4箱6ea,MIHAK Body & Hand Wash(#Oud Noir) (300ml),,판매중,본품,,,,619
主仓库,EA,8809410236953,8809410236953,MIHAK 身体护手沐浴露(#Vinyl Wood) (300ml),미학 바디 & 핸드워시(#바이닐우드) (300ml),,300ml,美妆个护,8809410236953,ea,无,27/箱,无权限,0.435,MIHAK,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-36-03,否,普通区,2028-01-19 00:00:00,566,0,,正品,21,21,21ea,21ea,MIHAK Body & Hand Wash(#Vinyl Wood) (300ml),,판매중,본품,,,,619
主仓库,EA,8809410237400,8809410237400,(赠品) MIHAK 泵头 (1ea),(증정) 미학 펌프 (1ea),,1ea,无,8809410237400,ea,无,60/箱,无权限,0.019,MIHAK,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A01-36-01,否,普通区,2099-12-31 00:00:00,26845,0,,正品,280,280,4箱40ea,4箱40ea,(Gift) MIHAK Pump (1ea),,판매중,증정,,,,588
主仓库,EA,8809533813628,8809533813628,SKINEYE 祛痘洗面奶 (120ml),스킨아이 아크네 퓨어 여드름 클렌징 폼 (120ml),,120ml,美妆个护,8809533813628,ea,无,48/箱,无权限,0,SKINEYE,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-17-02,否,普通区,2028-09-14 00:00:00,805,0,,正品,36,36,36ea,36ea,SKINEYE ACNE Pure Cleansing Foam (120ml),,판매중,본품,,,,0
主仓库,EA,8809954942662,8809954942662,AIPPO 粉盐弱酸性泡泡洁面乳 (155g),아이뽀 핑크솔트 약산성 버블 클렌저 (155g),,155g,美妆个护,8809954942662,ea,无,54/箱,无权限,0,AIPPO,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-18-01,否,普通区,2028-03-26 00:00:00,633,0,,正品,30,30,30ea,30ea,AIPPO Pinksalt pH Balancing Bubble Cleanser (155g),,판매중,본품,,,,0
主仓库,EA,8809745140918,8809745140918,BATHPROJECT 香氛护手霜(#野花香) (50ml),배쓰프로젝트 퍼퓸핸드크림(#오키드허쉬) (50ml),,50ml,美妆个护,8809745140918,ea,无,120/箱,无权限,0.059,BATHPROJECT,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-22-02,否,普通区,2027-09-24 00:00:00,449,0,,正品,51,51,51ea,51ea,BATHPROJECT Perfume Hand Cream(#Orchid Hush) (50ml),,판매중,본품,,,,222
主仓库,EA,8809702391063,8809702391063,BATHPROJECT 香氛护手霜(#无花果) (50ml),배쓰프로젝트 퍼퓸핸드크림(#페일블러쉬) (50ml),,50ml,美妆个护,8809702391063,ea,无,120/箱,无权限,0.059,BATHPROJECT,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-20-01,否,普通区,2028-11-18 00:00:00,870,0,,正品,49,49,49ea,49ea,BATHPROJECT Perfume Hand Cream(#Pale Blush) (50ml),,판매중,본품,,,,222
主仓库,EA,8809942330020,8809942330020,Oubbly 无花果紧致毛孔精华液 (50ml),어블리 피그 프루티 포어 타이트닝 세럼 (50ml),,50ml,美妆个护,8809942330020,ea,无,120/箱,无权限,0.204,Oubbly,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-24-01,否,普通区,2028-08-10 00:00:00,770,0,,正品,55,55,55ea,55ea,Oubbly fig fruity pore thightening serum (50ml),,판매중,본품,,,,276
主仓库,EA,8809700320836,8809700320836,Bellflower 美白解决方案精华 (30ml),벨플라워 브라이트닝 솔루션 세럼 (30ml),,30ml,美妆个护,8809700320836,ea,无,112/箱,无权限,0.05,Bellflower,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-16-01,否,普通区,2027-03-11 00:00:00,252,0,,正品,66,66,66ea,66ea,Bellflower Brightening Solution Serum (30ml),,판매중,본품,,,,110
主仓库,EA,8809700320843,8809700320843,Bellflower 美白解决方案面霜 (50ml),벨플라워 브라이트닝 솔루션 크림 (50ml),,50ml,美妆个护,8809700320843,ea,无,126/箱,无权限,0.095,Bellflower,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-16-03,否,普通区,2027-03-18 00:00:00,259,0,,正品,216,216,1箱90ea,1箱90ea,Bellflower Brightening Solution Cream (50ml),,판매중,본품,,,,216
主仓库,EA,8809693711352,8809693711352,SODOWE 口腔喷雾(#香草) (15ml),쏘두위 구강 스프레이(#바닐라향) (15ml),,15ml,美妆个护,8809693711352,ea,无,60/箱,无权限,0.038,SODOWE,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-08-03,否,普通区,2028-09-02 00:00:00,793,0,,正品,34,34,34ea,34ea,SODOWE Breath Spray(#Vanila) (15ml),,판매중,본품,,,,127
主仓库,EA,8809085109538,8809085109538,Login Forest 护手霜(#Rainy Groove Garden Silky) (30ml),로그인 포레스트 레이니 그루브 가든 실키 핸드(30ml),,30ml,美妆个护,8809085109538,ea,无,30/箱,无权限,0,Login Forest,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-23-02,否,普通区,2027-08-29 00:00:00,423,0,,正品,26,26,26ea,26ea,Login Forest Rainy Groove Garden Silky Hand (30ml),,판매중,본품,,,,0
主仓库,EA,8809085109545,8809085109545,Login Forest 护手霜(#Touffu Island 60) (30ml),로그인 포레스트 토푸 아일랜드 60 카밍 핸드 (30ml),,30ml,美妆个护,8809085109545,ea,无,30/箱,无权限,0,Login Forest,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-23-03,否,普通区,2027-08-29 00:00:00,423,0,,正品,27,27,27ea,27ea,Login Forest Touffu Island 60 Calming Hand (30ml),,판매중,본품,,,,0
主仓库,EA,8809442168970,8809442168970,Login Forest 护手霜(#Bourbon Vanilla Shaw) (30ml),로그인 포레스트 버번 바닐라 쇼우 딥 너리싱 핸드 (30ml),,30ml,美妆个护,8809442168970,ea,无,30/箱,无权限,0,Login Forest,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-24-02,否,普通区,2027-08-27 00:00:00,421,0,,正品,28,28,28ea,28ea,Login Forest Bourbon Vanilla Shaw Deep Nourishing Hand (30ml),,판매중,본품,,,,0
主仓库,EA,8809442169007,8809442169007,Login Forest 护手霜(#Citruble Liberty) (30ml),로그인 포레스트 시트러블 리버티 노 웨어 핸드 (30ml),,30ml,美妆个护,8809442169007,ea,无,30/箱,无权限,0,Login Forest,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-24-03,否,普通区,2027-08-28 00:00:00,422,0,,正品,31,31,1箱1ea,1箱1ea,Login Forest Citruble Liberty No Wear Hand (30ml),,판매중,본품,,,,0
主仓库,EA,8809502183981,8809502183981,WellDerma 积雪草修复贴合面膜(#绿色) (25g*4ea),웰더마 프리미엄 시카 트리트먼트 리페어 피팅 마스크(#초록색) (25g*4ea),,4ea,美妆个护,8809502183981,ea,无,40/箱,无权限,0.18,WellDerma,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-11-02,否,普通区,2028-08-19 00:00:00,779,0,,正品,2,2,2ea,2ea,WellDerma Premium Cica Treatment Repair Fitting Mask (25g*4ea),,판매중,본품,,,,678
主仓库,EA,8803348047742,8803348047742,FRUDIA Refresh 精华混合护唇膏(#棕色Earthy) (10g*1ea),후르디아 리프루스트 에센셜 블렌딩 립버터(#얼시) (10g*1ea),,10g*1ea,美妆个护,8803348047742,ea,无,120/箱,无权限,0.08,FRUDIA,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-14-01,否,普通区,2028-03-03 00:00:00,610,0,,正品,47,47,47ea,47ea,FRUDIA Re:proust Essential Blending Lip Butter(#Earthy) (10g*1ea),,판매중,본품,,,,196
主仓库,EA,8803348047759,8803348047759,FRUDIA Refresh 精华混合护唇膏(#绿色Greenery) (10g*1ea),후르디아 리프루스트 에센셜 블렌딩 립버터(#그리너리) (10g*1ea),,10g*1ea,美妆个护,8803348047759,ea,无,120/箱,无权限,0.08,FRUDIA,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-14-02,否,普通区,2027-12-19 00:00:00,535,0,,正品,44,44,44ea,44ea,FRUDIA Re:proust Essential Blending Lip Butter(#Greenery) (10g*1ea),,판매중,본품,,,,196
主仓库,EA,8809588130480,8809588130480,SKINEYE 天然发酵山茶爽肤水 (150ml),스킨아이 내추럴 발효 동백 스킨 (150ml),,150ml,美妆个护,8809588130480,ea,无,63/箱,无权限,0.2,SKINEYE,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-09-01,否,普通区,2028-10-12 00:00:00,833,0,,正品,50,50,50ea,50ea,SKINEYE Natural Camellia Skin (150ml),,판매중,본품,,,,27
主仓库,EA,8809681247405,8809681247405,Pleuvoir 扩香石套装 (18g*3ea),플르부아 센티드 타블렛 세트 (18g*3ea),,18g*3ea,无,8809681247405,ea,无,70/箱,无权限,0,Pleuvoir,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-12-03,否,普通区,2028-05-31 00:00:00,699,0,,正品,44,44,44ea,44ea,Pleuvoir Scented Tablet Set (18g*3ea),,판매중,본품,,,,0
主仓库,EA,8809681246026,8809681246026,(赠品) Pleuvoir 身体乳(#Rose Wood) (40ml),(증정) 플르부아 바디로션(#로즈우드) (40ml),,40ml,美妆个护,8809681246026,ea,无,120/箱,无权限,0.06,Pleuvoir,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-17-01,否,普通区,2028-10-23 00:00:00,844,0,,正品,205,205,1箱85ea,1箱85ea,(Gift) Pleuvoir Body Lotion(#Rose Wood) (40ml),,판매중,증정,,,,97
主仓库,EA,8809681246019,8809681246019,(赠品) Pleuvoir 身体乳(#Morning Soil) (40ml),(증정) 플르부아 바디로션(#모닝소일) (40ml),,40ml,美妆个护,8809681246019,ea,无,120/箱,无权限,0.06,Pleuvoir,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-14-03,否,普通区,2027-11-12 00:00:00,498,0,,正品,19,19,19ea,19ea,(Gift) Pleuvoir Body Lotion(#Morning Soil) (40ml),,판매중,증정,,,,97
主仓库,EA,8809681246019,8809681246019,(赠品) Pleuvoir 身体乳(#Morning Soil) (40ml),(증정) 플르부아 바디로션(#모닝소일) (40ml),,40ml,美妆个护,8809681246019,ea,无,120/箱,无权限,0.06,Pleuvoir,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-14-03,否,普通区,2028-04-24 00:00:00,662,0,,正品,272,272,2箱32ea,2箱32ea,(Gift) Pleuvoir Body Lotion(#Morning Soil) (40ml),,판매중,증정,,,,97
主仓库,EA,8809846781416,8809846781416,YOUSSOFUL 陶瓷香薰蜡烛(#Gru) (220g),유쏘풀 세라믹 캔들(#그루) (220g),,220g,无,8809846781416,ea,无,12/箱,无权限,0.62,YOUSSOFUL,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-31-01,否,普通区,2099-12-31 00:00:00,26845,0,,正品,61,61,5箱1ea,5箱1ea,YOUSSOFUL Ceramic Candle(#Gru) (220g),,판매중,본품,,,,1355
主仓库,EA,8809846781423,8809846781423,YOUSSOFUL 陶瓷香薰蜡烛(#Aram) (220g),유쏘풀 세라믹 캔들(#아람) (220g),,220g,无,8809846781423,ea,无,12/箱,无权限,0.62,YOUSSOFUL,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-31-02,否,普通区,2099-12-31 00:00:00,26845,0,,正品,50,50,4箱2ea,4箱2ea,YOUSSOFUL Ceramic Candle(#Aram) (220g),,판매중,본품,,,,1355
主仓库,EA,8809654651666,8809654651666,AIPPO 光感HA面霜 (50ml),아이뽀 스펙트럼 HA 크림 (50ml),,50ml,美妆个护,8809654651666,ea,无,72/箱,无权限,0.167,AIPPO,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-08-01,否,普通区,2028-07-02 00:00:00,731,0,,正品,16,16,16ea,16ea,AIPPO Spectrum Ha Cream (50ml),,판매중,본품,,,,271
主仓库,EA,8809399780416,8809399780416,Blanc Nature 皮脂零感气垫粉底(#23N Ginger) (30g),블랑네이처 피지 제로 에어핏 쿠션 기획(#23N 진저) (30g),,30g,美妆个护,8809399780416,ea,无,40/箱,无权限,0.135,Blanc Nature,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A02-26-02,否,普通区,2028-06-03 00:00:00,702,0,,正品,47,47,1箱7ea,1箱7ea,Blanc Nature Sebum-Zero Airfit Cushion with Refill(#23N Ginger) (30g),,판매중,본품,,,,468
主仓库,EA,8809849803511,8809849803511,TARA 海藻海洋修复乳液 (150ml),타라 알개 마린 로션 (150ml),,150ml,美妆个护,8809849803511,ea,无,40/箱,无权限,0.385,TARA,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A03-07-02,否,普通区,2028-07-10 00:00:00,739,0,,正品,30,30,30ea,30ea,TARA Algae Marine Lotion (150ml),,판매중,본품,,,,463
主仓库,EA,8809849803283,8809849803283,TARA 海藻海洋修复爽肤水 (150ml),타라 알개 마린 토너 (150ml),,150ml,美妆个护,8809849803283,ea,无,40/箱,无权限,0.384,TARA,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A03-07-01,否,普通区,2028-03-30 00:00:00,637,0,,正品,16,16,16ea,16ea,TARA Algae Marine Toner (150ml),,판매중,본품,,,,463
主仓库,EA,8809656990602,8809656990602,LIBER 香水(#Tea Slow) (30ml),리베르 향수(#티슬로우) (30ml),,30ml,无,8809656990602,ea,无,90/箱,无权限,0.16,LIBER,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A03-33-03,否,普通区,2029-11-14 00:00:00,1231,0,,正品,15,15,15ea,15ea,LIBER Perfume(#Tea Slow) (30ml),,판매중,본품,,,,203
主仓库,EA,8809656991593,8809656991593,LIBER 香水(#Campus Picnic) (30ml),리베르 향수(#캠퍼스피크닉) (30ml),,30ml,无,8809656991593,ea,无,90/箱,无权限,0.16,LIBER,0000-00-00 00:00:00,0,0,A0,피킹A01-A06,拣货区,A03-34-03,否,普通区,2029-02-13 00:00:00,957,0,,正品,29,29,29ea,29ea,LIBER Perfume(#Campus Picnic) (30ml),,판매중,본품,,,,203
