货主,入库单号,仓库,货品简称,创建人,入库原因,仓储单号,商家编码,条形码,货品编号,货品名称,分类名称,规格名称,品牌,数量,单价,箱数,绩效箱数,物流公司,物流单号,入库货位,批次,是否正品,审核时间,备注,单品备注,OMS单号,箱规,生产日期,保质期,有效期,货品重量（kg）,货品总重量（kg）,货品体积（cm³）,货品总体积（cm³）,货品箱体积（cm³）,箱规总体积（cm³）,单品标记
EA,RK2602060004,主仓库,(증정) 누메 소프트 레이어 스킨 프렙 (2ml),박강민 ,采购入库,CG202602060004,8800242200129,8800242200129,8800242200129,(赠品) NUME 柔润分层妆前乳 (2ml),美妆个护,2ml,NUME,200,无权限,200箱,2.0,无,,B2-18-01,,正品,2026-02-06 11:03:16,NUME / EA / Sunmooh CG20260205006,,OCG202602060004,1/箱,0000-00-00 00:00:00,0.0,2028-12-15 00:00:00,0.0,0.0,0.0,0,0.0,0,无
EA,RK2602270027,主仓库,(증정) 어블리 피그 프루티 포어 타이트닝 세럼 샤쉐 (2ml),권오성,采购入库,CG202602270014,8809942330075,8809942330075,8809942330075,(赠品) Oubbly 无花果精华液小样 (2ml),美妆个护,2ml,Oubbly,150,无权限,150箱,2.0,无,,A02-17-03,,正品,2026-02-27 13:30:57,Oubbly / EA / Sunmooh CG20260226002,Sunmooh,OCG202602270017,1/箱,0000-00-00 00:00:00,0.0,2028-08-10 00:00:00,0.0,0.0,0.0,0,0.0,0,无
EA,RK2602240002,主仓库,(증정) 로그인 포레스트 시트러블 리버티 바이탈 루틴케어 (2ea),남궁정,采购入库,CG202602230009,8809961620492,8809961620492,8809961620492,(赠品) Login Forest Citrable Liberty 两件护体装 (2ea),美妆个护,2ea,Login Forest,120,无权限,120箱,2.0,无,,A02-10-03,,正品,2026-02-24 08:19:08,Login Forest / EA / Sunmooh CG20260220001,Sunmooh,OCG202602230009,1/箱,0000-00-00 00:00:00,0.0,2028-01-05 00:00:00,0.0,0.0,0.0,0,0.0,0,无
EA,RK2602260014,主仓库,코코스타 집중보습 풋 모이스쳐 팩(#퍼플) (16ml*1ea),권오성,采购入库,CG202602260012,8809328320287,8809328320287,8809328320287,KOCOSTAR 芬芳补水足膜(#紫色) (16ml*1ea),美妆个护,16ml*1ea,KOCOSTAR,400,无权限,400箱,4.0,无,,A03-01-01,,正品,2026-02-26 14:23:19,KOCOSTAR / EA / Sunmooh  追加:CJ대한통운 696632650920，696632650931 CG20260225003,Sunmooh,OCG202602260012,1/箱,0000-00-00 00:00:00,0.0,2028-08-12 00:00:00,0.027,10.8,21.0,8400,0.0,8400,无
EA,RK2602260014,主仓库,코코스타 집중보습 핸드 모이스쳐 팩(#퍼플) (16ml*1ea),권오성,采购入库,CG202602260012,8809328320232,8809328320232,8809328320232,KOCOSTAR 保湿滋润薰衣草手膜(#紫色) (16ml*1ea),美妆个护,16ml*1ea,KOCOSTAR,400,无权限,400箱,4.0,无,,A03-01-02,,正品,2026-02-26 14:23:19,KOCOSTAR / EA / Sunmooh  追加:CJ대한통운 696632650920，696632650931 CG20260225003,Sunmooh,OCG202602260012,1/箱,0000-00-00 00:00:00,0.0,2028-05-18 00:00:00,0.027,10.8,21.0,8400,0.0,8400,无
EA,RK2602020009,主仓库,플르부아 바디클렌저(#히노키레더) (250ml),박강민 ,借调入库,JTF202602020001,8809681242325,8809681242325,8809681242325,Pleuvoir 沐浴露(#Hinoki Leather) (250ml),美妆个护,250ml,Pleuvoir,20,无权限,1箱,1.0,无,,A05-03-02,,正品,2026-02-02 15:12:23,SCM 화주변경요청,,,20/箱,0000-00-00 00:00:00,0.0,2028-08-28 00:00:00,0.325,6.5,585.0,11700,0.0,11700,无
EA,RK2602020009,主仓库,플르부아 바디로션(#히노키레더) (250ml),박강민 ,借调入库,JTF202602020001,8809681242318,8809681242318,8809681242318,Pleuvoir 身体乳(#Hinoki Leather) (250ml),美妆个护,250ml,Pleuvoir,20,无权限,1箱,1.0,无,,A05-04-02,,正品,2026-02-02 15:12:23,SCM 화주변경요청,,,20/箱,0000-00-00 00:00:00,0.0,2028-07-01 00:00:00,0.31,6.2,585.0,11700,0.0,11700,无
EA,RK2602030001,主仓库,코엘프 퍼퓸 핸드크림(#미스틱 그로브) (50ml),박강민 ,借调入库,JTF202602030001,8809508851792,8809508851792,8809508851792,Koelf 香氛护手霜(#Mystic Grove) (50ml),美妆个护,50ml,Koelf,30,无权限,30ea,1.0,无,,A03-23-01,,正品,2026-02-03 08:14:08,SCM 화주변경요청,,,60/箱,0000-00-00 00:00:00,0.0,2028-03-09 00:00:00,0.07,2.1,181.0,5430,0.0,5430,无
EA,RK2602030001,主仓库,코엘프 퍼퓸 핸드크림(#마차 폼폼) (50ml),박강민 ,借调入库,JTF202602030001,8809508851808,8809508851808,8809508851808,Koelf 香氛护手霜(#Matcha Foam Foam) (50ml),美妆个护,50ml,Koelf,30,无权限,30ea,1.0,无,,A03-20-01,,正品,2026-02-03 08:14:08,SCM 화주변경요청,,,60/箱,0000-00-00 00:00:00,0.0,2028-03-05 00:00:00,0.07,2.1,181.0,5430,0.0,5430,无
EA,RK2602030001,主仓库,코엘프 퍼퓸 핸드크림(#스필드 러스트) (50ml),박강민 ,借调入库,JTF202602030001,8809508851785,8809508851785,8809508851785,Koelf 香氛护手霜(#Spilled Rust) (50ml),美妆个护,50ml,Koelf,30,无权限,30ea,1.0,无,,A03-20-03,,正品,2026-02-03 08:14:08,SCM 화주변경요청,,,60/箱,0000-00-00 00:00:00,0.0,2029-01-16 00:00:00,0.07,2.1,181.0,5430,0.0,5430,无
EA,RK2602030001,主仓库,코엘프 퍼퓸 핸드크림(#튤립 앳 던) (50ml),박강민 ,借调入库,JTF202602030001,8809508851778,8809508851778,8809508851778,Koelf 香氛护手霜(#Tulip at Dawn) (50ml),美妆个护,50ml,Koelf,30,无权限,30ea,1.0,无,,A03-23-03,,正品,2026-02-03 08:14:08,SCM 화주변경요청,,,60/箱,0000-00-00 00:00:00,0.0,2028-10-29 00:00:00,0.07,2.1,181.0,5430,0.0,5430,无
EA,RK2602030002,主仓库,플르부아 디퓨저(#올모스트 네이키드) (200ml),남궁정,未知入库,,8809681246064,8809681246064,8809681246064,Pleuvoir 香薰(#Almost Naked) (200ml),美妆个护,200ml,Pleuvoir,2,无权限,2ea,1.0,无,,A05-11-02,,正品,2026-02-03 10:20:18,강남 사무실 미개봉 셈플 판매,,,27/箱,0000-00-00 00:00:00,0.0,2028-02-29 00:00:00,0.31,0.62,1085.0,2170,0.0,2170,无
EA,RK2602030002,主仓库,플르부아 디퓨저(#테이크 미 홈) (200ml),남궁정,未知入库,,8809681246057,8809681246057,8809681246057,Pleuvoir 香薰(#Take Me Home) (200ml),美妆个护,200ml,Pleuvoir,1,无权限,1ea,1.0,无,,A05-06-01,,正品,2026-02-03 10:20:18,강남 사무실 미개봉 셈플 판매,,,27/箱,0000-00-00 00:00:00,0.0,2028-02-29 00:00:00,0.31,0.31,1085.0,1085,0.0,1085,无
EA,RK2602030002,主仓库,플르부아 오 드 퍼퓸(#버닝 잇 올) (50ml),남궁정,未知入库,,8809681247245,8809681247245,8809681247245,Pleuvoir 香水(#Burning It All) (50ml),美妆个护,50ml,Pleuvoir,2,无权限,2ea,1.0,无,,A05-05-03,,正品,2026-02-03 10:20:18,강남 사무실 미개봉 셈플 판매,,,24/箱,0000-00-00 00:00:00,0.0,2028-01-16 00:00:00,0.246,0.492,914.0,1828,0.0,1828,无
EA,RK2602030002,主仓库,플르부아 오 드 퍼퓸(#올모스트 네이키드) (50ml),남궁정,未知入库,,8809681247221,8809681247221,8809681247221,Pleuvoir 香水(#Alomst Naked) (50ml),美妆个护,50ml,Pleuvoir,2,无权限,2ea,1.0,无,,A05-12-01,,正品,2026-02-03 10:20:18,강남 사무실 미개봉 셈플 판매,,,24/箱,0000-00-00 00:00:00,0.0,2028-01-16 00:00:00,0.246,0.492,914.0,1828,0.0,1828,无
EA,RK2602030002,主仓库,플르부아 디퓨저(#버닝 잇 올) (200ml),남궁정,未知入库,,8809681246040,8809681246040,8809681246040,Pleuvoir 香薰(#Burning It All) (200ml),美妆个护,200ml,Pleuvoir,2,无权限,2ea,1.0,无,,A05-11-03,,正品,2026-02-03 10:20:18,강남 사무실 미개봉 셈플 판매,,,27/箱,0000-00-00 00:00:00,0.0,2028-02-29 00:00:00,0.31,0.62,1085.0,2170,0.0,2170,无
EA,RK2602030002,主仓库,플르부아 핸드워시(#버닝 잇 올) (300ml),남궁정,未知入库,,8809681247214,8809681247214,8809681247214,Pleuvoir 洗手液(#Burning It All) (300ml),美妆个护,300ml,Pleuvoir,1,无权限,1ea,1.0,无,,A05-02-01,,正品,2026-02-03 10:20:18,강남 사무실 미개봉 셈플 판매,,,20/箱,0000-00-00 00:00:00,0.0,2028-02-06 00:00:00,0.38,0.38,780.0,780,0.0,780,无
EA,RK2602030002,主仓库,플르부아 핸드워시(#올모스트 네이키드) (300ml),남궁정,未知入库,,8809681247191,8809681247191,8809681247191,Pleuvoir 洗手液(#Almost Naked) (300ml),美妆个护,300ml,Pleuvoir,1,无权限,1ea,1.0,无,,A05-31-02,,正品,2026-02-03 10:20:18,강남 사무실 미개봉 셈플 판매,,,20/箱,0000-00-00 00:00:00,0.0,2028-01-21 00:00:00,0.38,0.38,780.0,780,0.0,780,无
EA,RK2602030006,主仓库,후르디아 리프루스트 블레미쉬 리커버리 밤 (40g),박강민 ,借调入库,JTF202602030002,8803348049869,8803348049869,8803348049869,FRUDIA 妆前饰色打底 (40g),美妆个护,40g,FRUDIA,40,无权限,1箱,1.0,无,,A02-01-02,,正品,2026-02-03 13:08:16,SCM 화주변경요청,기초,,40/箱,0000-00-00 00:00:00,0.0,2026-12-10 00:00:00,0.058,2.32,0.0,0,0.0,0,无
EA,RK2602030008,主仓库,보라톡스 퓨어 화이트 리포좀 글루타치온 (500mg*60ea),권오성,采购入库,CG202602030005,8809663539443,8809663539443,8809663539443,BORATALKS 谷胱甘肽 (500mg*60ea),食品,1ea,BORATALKS,100,无权限,1箱,1.0,无,,A01-03-03,,正品,2026-02-03 15:42:40,BORATALKS / EA / Sunmooh  追加:롯데택배 312049141202 CG20260129004,Sunmooh,OCG202602030005,100/箱,0000-00-00 00:00:00,0.0,2027-09-30 00:00:00,0.09,9.0,272.0,27200,0.0,27200,无
EA,RK2602030009,主仓库,아이뽀 엑스퍼트 모공 앰플 마스크 (30ml),박강민 ,借调入库,JTF202602030003,8809875908457,8809875908457,8809875908457,AIPPO 去角质毛孔安瓶面膜 (30ml),美妆个护,30ml,AIPPO,60,无权限,1箱,1.0,无,,A02-19-02,,正品,2026-02-03 16:27:38,SCM 화주변경요청,기초,,60/箱,0000-00-00 00:00:00,0.0,2028-10-29 00:00:00,0.158,9.48,200.0,12000,0.0,12000,无
BOX,RK2602030010,主仓库,슈엘로 리쥬 카밍 PDRN 버블토너 (100ml),박강민 ,借调入库,JTF202602030004,8809794920240,8809794920240,8809794920240,Suelo Reju 舒缓 PDRN 泡泡爽肤水 (100ml),美妆个护,100ml,Suelo,45,无权限,1箱,1.0,无,,B1-25-01,,正品,2026-02-03 16:35:17,SCM 화주변경요청,기타,,45/箱,0000-00-00 00:00:00,0.0,2028-05-29 00:00:00,0.165,7.425,375.0,16875,0.0,16875,无
BOX,RK2602030010,主仓库,슈엘로 볼케이노 바디 피피씨 크림 (120ml) (#Ver.2),박강민 ,借调入库,JTF202602030004,8809794920271,8809794920271,8809794920271,Suelo 火山身体PPC纤体刮痧霜 (120ml) (#Ver.2),美妆个护,120ml,Suelo,32,无权限,1箱,1.0,无,,B1-25-01,,正品,2026-02-03 16:35:17,SCM 화주변경요청,기타,,32/箱,0000-00-00 00:00:00,0.0,2028-08-28 00:00:00,0.178,5.696,612.0,19584,0.0,19584,无
EA,RK2602040001,主仓库,아이뽀 엑스퍼트 수딩 앰플 (30ml),권오성,未知入库,,8809875900321,8809875900321,8809875900321,AIPPO 舒缓安瓶 (30ml),美妆个护,30ml,AIPPO,2,无权限,2ea,1.0,无,,A03-24-01,,正品,2026-02-04 08:25:23,본사 입고 요청 건,,,70/箱,0000-00-00 00:00:00,0.0,2027-07-23 00:00:00,0.16,0.32,203.0,406,0.0,406,无
EA,RK2602040001,主仓库,아이뽀 엑스퍼트 퍼밍 앰플 (30ml),권오성,未知入库,,8809533810061,8809533810061,8809533810061,AIPPO 专家紧致安瓶 (30ml),美妆个护,30ml,AIPPO,2,无权限,2ea,1.0,无,,A01-25-01,,正品,2026-02-04 08:25:23,본사 입고 요청 건,,,70/箱,0000-00-00 00:00:00,0.0,2027-03-25 00:00:00,0.161,0.322,200.0,400,0.0,400,无
BOX,RK2602040003,主仓库,유쏘풀 차량용 방향제(#07 세인트모리츠) (14.85g),남궁정,采购入库,CG202602040001,8809846781393,8809846781393,8809846781393,YOUSSOFUL 汽车香氛(#07 Saint Moritz) (14.85g),无,14.85g,YOUSSOFUL,24,无权限,1箱,1.0,无,,B2-14-03,,正品,2026-02-04 09:50:53,YOUSSOFUL / BOX / TW / 26-05차 CG20260129001,TW 26-05차,OCG202602040001,24/箱,0000-00-00 00:00:00,0.0,2028-06-16 00:00:00,0.3,7.2,1478.0,35472,0.0,35472,无
BOX,RK2602040003,主仓库,유쏘풀 릴렉싱 미스트(#루나) (100ml),남궁정,采购入库,CG202602040001,8809846781454,8809846781454,8809846781454,YOUSSOFUL 助眠喷雾(#Luna) (100ml),美妆个护,100ml,YOUSSOFUL,24,无权限,1箱,1.0,无,,B2-14-03,,正品,2026-02-04 09:50:53,YOUSSOFUL / BOX / TW / 26-05차 CG20260129001,TW 26-05차,OCG202602040001,24/箱,0000-00-00 00:00:00,0.0,2028-04-03 00:00:00,0.326,7.824,432.0,10368,0.0,10368,无
BOX,RK2602040003,主仓库,유쏘풀 릴렉싱 미스트(#녹턴) (100ml),남궁정,采购入库,CG202602040001,8809846781461,8809846781461,8809846781461,YOUSSOFUL 助眠喷雾(#Nocturne) (100ml),美妆个护,100ml,YOUSSOFUL,24,无权限,1箱,1.0,无,,B2-14-03,,正品,2026-02-04 09:50:53,YOUSSOFUL / BOX / TW / 26-05차 CG20260129001,TW 26-05차,OCG202602040001,24/箱,0000-00-00 00:00:00,0.0,2028-04-03 00:00:00,0.326,7.824,432.0,10368,0.0,10368,无
BOX,RK2602040003,主仓库,유쏘풀 더 바디로션(#07 세인트모리츠) (500ml),남궁정,采购入库,CG202602040001,8809846781492,8809846781492,8809846781492,YOUSSOFUL 身体乳(#07 Saint Moritz) (500ml),美妆个护,500ml,YOUSSOFUL,15,无权限,1箱,1.0,无,,B2-14-03,,正品,2026-02-04 09:50:53,YOUSSOFUL / BOX / TW / 26-05차 CG20260129001,TW 26-05차,OCG202602040001,15/箱,0000-00-00 00:00:00,0.0,2028-04-23 00:00:00,0.62,9.3,1192.0,17880,0.0,17880,无
BOX,RK2602040003,主仓库,유쏘풀 핸드크림(#07 세인트 모리츠) (50ml),남궁정,采购入库,CG202602040001,8809846781041,8809846781041,8809846781041,YOUSSOFUL 护手霜(#07 Saint moritz) (50ml),无,50ml,YOUSSOFUL,54,无权限,1箱,1.0,无,,B2-14-03,,正品,2026-02-04 09:50:53,YOUSSOFUL / BOX / TW / 26-05차 CG20260129001,TW 26-05차,OCG202602040001,54/箱,0000-00-00 00:00:00,0.0,2027-11-27 00:00:00,0.085,4.59,341.0,18414,0.0,18414,无
BOX,RK2602040003,主仓库,유쏘풀 향수(#03 베리섹시) (50ml),남궁정,采购入库,CG202602040001,8809846780129,8809846780129,8809846780129,YOUSSOFUL 香水(#03 Berry Sexy) (50ml),美妆个护,50ml,YOUSSOFUL,64,无权限,1箱,1.0,无,,B2-14-03,,正品,2026-02-04 09:50:53,YOUSSOFUL / BOX / TW / 26-05차 CG20260129001,TW 26-05차,OCG202602040001,64/箱,0000-00-00 00:00:00,0.0,2028-12-10 00:00:00,0.182,11.648,225.0,14400,0.0,14400,无
BOX,RK2602040005,主仓库,유쏘풀 향수(#24 엠포리아 코튼) (50ml),남궁정,采购入库,CG202602040001,8809846780587,8809846780587,8809846780587,YOUSSOFUL 香水(#24 Emporia cotton) (50ml),美妆个护,50ml,YOUSSOFUL,48,无权限,48ea,1.0,无,,B2-14-03,,正品,2026-02-04 10:24:37,YOUSSOFUL / BOX / TW / 26-05차 CG20260129001,TW 26-05차,OCG202602040001,64/箱,0000-00-00 00:00:00,0.0,2028-12-10 00:00:00,0.182,8.736,225.0,10800,0.0,10800,无
BOX,RK2602040006,主仓库,유쏘풀 향수(#24 엠포리아 코튼) (50ml),남궁정,采购入库,CG202602040001,8809846780587,8809846780587,8809846780587,YOUSSOFUL 香水(#24 Emporia cotton) (50ml),美妆个护,50ml,YOUSSOFUL,8,无权限,8ea,1.0,无,,B2-14-03,,正品,2026-02-04 10:26:44,YOUSSOFUL / BOX / TW / 26-05차 CG20260129001,TW 26-05차,OCG202602040001,64/箱,0000-00-00 00:00:00,0.0,2028-11-10 00:00:00,0.182,1.456,225.0,1800,0.0,1800,无
EA,RK2602040007,主仓库,유쏘풀 향수(#03 베리섹시) (50ml),남궁정,采购入库,CG202602040004,8809846780129,8809846780129,8809846780129,YOUSSOFUL 香水(#03 Berry Sexy) (50ml),美妆个护,50ml,YOUSSOFUL,16,无权限,16ea,1.0,无,,B2-14-03,,正品,2026-02-04 10:28:25,YOUSSOFUL / EA / TW / 26-05차 CG20260129002,TW 26-05차,OCG202602040004,64/箱,0000-00-00 00:00:00,0.0,2028-12-10 00:00:00,0.182,2.912,225.0,3600,0.0,3600,无
EA,RK2602040008,主仓库,사노셀 아큐민 수용성 커큐민 코어 (750mg*30ea) (#Ver.2),남궁정,采购入库,CG202602040005,8809663536794,8809663536794,8809663536794,SANOCELL 姜黄素 (750mg*30ea) (#Ver.2),食品,750mg*30ea,SANOCELL,50,无权限,1箱,1.0,无,,A01-06-02,,正品,2026-02-04 11:19:57,SANOCELL / EA / Sunmooh CG20260203003,Sunmooh,OCG202602040005,50/箱,0000-00-00 00:00:00,0.0,2026-06-03 00:00:00,0.049,2.45,150.0,7500,0.0,7500,无
EA,RK2602040010,主仓库,스킨아이 아크네 퓨어 여드름 클렌징 폼 (120ml),남궁정,采购入库,CG202602040006,8809533813628,8809533813628,8809533813628,SKINEYE 祛痘洗面奶 (120ml),美妆个护,120ml,SKINEYE,48,无权限,1箱,1.0,无,,A02-17-02,,正品,2026-02-04 13:26:41,SKINEYE / EA / Sunmooh CG20260203004,Sunmooh,OCG202602040006,48/箱,0000-00-00 00:00:00,0.0,2028-09-14 00:00:00,0.0,0.0,0.0,0,0.0,0,无
EA,RK2602040010,主仓库,스킨아이 내추럴 발효 비건 동백오일 100 (20ml),남궁정,采购入库,CG202602040006,8809186286558,8809186286558,8809186286558,SKINEYE 山茶花油精油 (20ml),美妆个护,20ml,SKINEYE,198,无权限,1箱,1.0,无,,A03-05-02,,正品,2026-02-04 13:26:41,SKINEYE / EA / Sunmooh CG20260203004,Sunmooh,OCG202602040006,198/箱,0000-00-00 00:00:00,0.0,2028-12-04 00:00:00,0.0,0.0,0.0,0,0.0,0,无
EA,RK2602040010,主仓库,스킨아이 내추럴 발효 동백 에멀전 (150ml),남궁정,采购入库,CG202602040006,8809588130497,8809588130497,8809588130497,SKINEYE 天然发酵山茶乳液 (150ml),美妆个护,150ml,SKINEYE,60,无权限,60ea,1.0,无,,A02-09-02,,正品,2026-02-04 13:26:41,SKINEYE / EA / Sunmooh CG20260203004,Sunmooh,OCG202602040006,63/箱,0000-00-00 00:00:00,0.0,2028-10-13 00:00:00,0.19,11.4,27.0,1620,0.0,1620,无
EA,RK2602040010,主仓库,스킨아이 내추럴 발효 동백 스킨 (150ml),남궁정,采购入库,CG202602040006,8809588130480,8809588130480,8809588130480,SKINEYE 天然发酵山茶爽肤水 (150ml),美妆个护,150ml,SKINEYE,63,无权限,1箱,1.0,无,,A02-09-01,,正品,2026-02-04 13:26:41,SKINEYE / EA / Sunmooh CG20260203004,Sunmooh,OCG202602040006,63/箱,0000-00-00 00:00:00,0.0,2028-10-12 00:00:00,0.2,12.6,27.0,1701,0.0,1701,无
EA,RK2602040010,主仓库,스킨아이 내추럴 발효 동백 아이크림 (30ml),남궁정,采购入库,CG202602040006,8809186287821,8809186287821,8809186287821,SKINEYE 山茶花眼霜 (30ml),无,30ml,SKINEYE,156,无权限,1箱,1.0,无,,A03-05-03,,正品,2026-02-04 13:26:41,SKINEYE / EA / Sunmooh CG20260203004,Sunmooh,OCG202602040006,156/箱,0000-00-00 00:00:00,0.0,2028-10-16 00:00:00,0.044,6.864,184.0,28704,0.0,28704,无
EA,RK2602040011,主仓库,(증정) 유쏘풀 카드 시향지 (1ea),남궁정,采购入库,CG202602040004,8802024090302,8802024090302,8802024090302,(赠品) YOUSSOFUL 香气卡 (1ea),无,1ea,YOUSSOFUL,10000,无权限,1箱,1.0,无,,B2-14-03,,正品,2026-02-04 15:55:05,YOUSSOFUL / EA / TW / 26-05차 CG20260129002,TW 26-05차,OCG202602040004,10000/箱,0000-00-00 00:00:00,0.0,2099-12-31 00:00:00,0.001,10.0,0.0,0,0.0,0,无
EA,RK2602040011,主仓库,유쏘풀 향수(#16 베리 느와르) (50ml),남궁정,采购入库,CG202602040004,8809846780402,8809846780402,8809846780402,YOUSSOFUL 香水(#16 Berry noir) (50ml),美妆个护,50ml,YOUSSOFUL,24,无权限,24ea,1.0,无,,B2-14-03,,正品,2026-02-04 15:55:05,YOUSSOFUL / EA / TW / 26-05차 CG20260129002,TW 26-05차,OCG202602040004,64/箱,0000-00-00 00:00:00,0.0,2028-12-10 00:00:00,0.182,4.368,225.0,5400,0.0,5400,无
